ประโยคพื้นฐาน,ลู
อยากทำโปรเจกต์ใหม่ ๆ หรือเปล่าครับ,หลากหยูกลัมทุมโลปรูเหลกจูกหลั่ยหมุ่ยหลั่ยหมุ่ยสือหรูเหล่าปลุ่วลับครุบ
มีความฝันที่อยากทำให้สำเร็จไหมครับ,ลีมูลามควูมหลันฝุนลี่ทู่หลากหยูกลัมทุมลั่ยฮุ่ยหลัมสุมเส็ดหรุดหลัยหมุยลับครุบ
รู้สึกอยากพักผ่อนบ้างไหมครับ,ซู้รี้หลึกสุกหลากหยูกลักพุกหล่อนผู่นล่างบู้งหลัยหมุยลับครุบ
คุณมีวิธีการผ่อนคลายอย่างไรครับ,ลุนคินลีมูลิวุลีทูลานกูนหล่อนผู่นลายคลูยหล่างหยู่งซัยรุยลับครุบ
สิ่งที่คุณอยากจะทำในอนาคตคืออะไรครับ,หลิ่งสุ่งลี่ทู่ลุนคินหลากหยูกหละจุลัมทุมลัยนุยหละอุลานูลดคุดลือคูหละอุซัยรุยลับครุบ
มีสิ่งที่อยากเปลี่ยนแปลงในชีวิตไหมครับ,ลีมูหลิ่งสุ่งลี่ทู่หลากหยูกเหลี่ยนปลู่นแลงปลูงลัยนุยลีชูลิดวุดหลัยหมุยลับครุบ
วันนี้ลองทำอะไรใหม่ ๆ หรือยังครับ,ลันวุนลี้นู้ซองลูงลัมทุมหละอุซัยรุยหลั่ยหมุ่ยหลั่ยหมุ่ยสือหรูลังยุงลับครุบ
คุณเคยมีประสบการณ์ที่น่าประทับใจอะไรบ้างครับ,ลุนคินเลยคูยลีมูหละปรุหลบสุบลานกูนลี่ทู่ล่านู่หละปรุลับทุบลัยจุยหละอุซัยรุยล่างบู้งลับครุบ
อาหารที่คุณชอบที่สุดคืออะไรครับ,ลาอูหลานหูนลี่ทู่ลุนคินลอบชูบลี่ทู่หลุดสิดลือคูหละอุซัยรุยลับครุบ
ถ้าเลือกได้ คุณอยากทำงานอะไรครับ,ล่าทู่เซือกลูกล่ายดู้ยลุนคินหลากหยูกลัมทุมลานงูนหละอุซัยรุยลับครุบ
คุณเคยเจอเหตุการณ์ตื่นเต้นที่สุดเมื่อไหร่ครับ,ลุนคินเลยคูยเลอจูเหลดหูดลานกูนหลื่นตู่นเล่นตู้นลี่ทู่หลุดสิดเลื่อมู่สั่ยหรุ่ยลับครุบ
คุณชอบกาแฟหรือชาครับ,ลุนคินลอบชูบลากูแลฟูสือหรูลาชูลับครุบ
วันนี้คุณอยากลองอะไรใหม่ ๆ ไหมครับ,ลันวุนลี้นู้ลุนคินหลากหยูกซองลูงหละอุซัยรุยหลั่ยหมุ่ยหลั่ยหมุ่ยหลัยหมุยลับครุบ
คุณมีสัตว์เลี้ยงไหมครับ,ลุนคินลีมูหลัดสุดเซี้ยงลู้งหลัยหมุยลับครุบ
ถ้าต้องเลือก คุณอยากอยู่ในเมืองหรือชนบทครับ,ล่าทู่ล่องตู้งเซือกลูกลุนคินหลากหยูกหลู่หยี่ลัยนุยเลืองมูงสือหรูลนชุนละนุหลดบุดลับครุบ
คุณเคยไปเที่ยวทะเลหรือภูเขามากกว่ากันครับ,ลุนคินเลยคูยลัยปุยเลี่ยวทู่วละทุเซลูสือหรูลูพีเหลาขุวลากมูกหล่ากวู่ลันกุนลับครุบ
คุณมีแรงบันดาลใจจากใครหรืออะไรบ้างครับ,ลุนคินลีมูแซงรูงลันบุนลานดูนลัยจุยหลากจูกลัยครุยสือหรูหละอุซัยรุยล่างบู้งลับครุบ
ถ้าเลือกได้ คุณอยากเรียนรู้อะไรใหม่ครับ,ล่าทู่เซือกลูกล่ายดู้ยลุนคินหลากหยูกเซียนรูนซู้รี้หละอุซัยรุยหลั่ยหมุ่ยลับครุบ
คุณชอบตื่นเช้าหรือนอนดึกครับ,ลุนคินลอบชูบหลื่นตู่นเล้าชุ้วสือหรูลอนนูนหลึกดุกลับครุบ
วันนี้คุณมีอะไรที่อยากทำให้สำเร็จไหมครับ,ลันวุนลี้นู้ลุนคินลีมูหละอุซัยรุยลี่ทู่หลากหยูกลัมทุมลั่ยฮุ่ยหลัมสุมเส็ดหรุดหลัยหมุยลับครุบ
คุณเคยเรียนดนตรีหรือไม่ครับ,ลุนคินเลยคูยเซียนรูนลนดุนลีตรูสือหรูลั่ยมุ่ยลับครุบ
อาหารจานโปรดของคุณคืออะไรครับ,ลาอูหลานหูนลานจูนโหลดปรูดหลองขูงลุนคินลือคูหละอุซัยรุยลับครุบ
มีหนังสือที่ชอบอ่านบ้างไหมครับ,ลีมูหลังหนุงหลือสูลี่ทู่ลอบชูบหล่านอู่นล่างบู้งหลัยหมุยลับครุบ
คุณชอบฤดูไหนมากที่สุดครับ,ลุนคินลอบชูบซึรุลูดีหลัยหนุยลากมูกลี่ทู่หลุดสิดลับครุบ
คุณเคยลองเล่นกีฬาใหม่ ๆ บ้างไหมครับ,ลุนคินเลยคูยซองลูงเซ่นลู่นลีกูซาลูหลั่ยหมุ่ยหลั่ยหมุ่ยล่างบู้งหลัยหมุยลับครุบ
อะไรคือสิ่งที่ทำให้คุณมีความสุขที่สุดครับ,หละอุซัยรุยลือคูหลิ่งสุ่งลี่ทู่ลัมทุมลั่ยฮุ่ยลุนคินลีมูลามควูมหลุกสิกลี่ทู่หลุดสิดลับครุบ
คุณมีงานอดิเรกอะไรบ้างครับ,ลุนคินลีมูลานงูนหละอุหลิดุเสกหรูกหละอุซัยรุยล่างบู้งลับครุบ
วันนี้คุณเรียนรู้อะไรใหม่บ้างครับ,ลันวุนลี้นู้ลุนคินเซียนรูนซู้รี้หละอุซัยรุยหลั่ยหมุ่ยล่างบู้งลับครุบ
คุณชอบทำอาหารแบบไหนครับ,ลุนคินลอบชูบลัมทุมลาอูหลานหูนแหลบบูบหลัยหนุยลับครุบ
ถ้ามีโอกาส คุณอยากไปประเทศไหนครับ,ล่าทู่ลีมูโลอูหลาดกูดลุนคินหลากหยูกลัยปุยหละปรุเลดทูดหลัยหนุยลับครุบ
คุณมีเป้าหมายในปีนี้อะไรบ้างครับ,ลุนคินลีมูเล่าปุ้วหลายหมูยลัยนุยลีปูลี้นู้หละอุซัยรุยล่างบู้งลับครุบ
เคยทำอะไรที่ท้าทายตัวเองไหมครับ,เลยคูยลัมทุมหละอุซัยรุยลี่ทู่ล้าทู้ลายทูยลัวตูเลงอูงหลัยหมุยลับครุบ
คุณเคยทำอะไรเพื่อช่วยเหลือคนอื่นบ้างไหมครับ,ลุนคินเลยคูยลัมทุมหละอุซัยรุยเลื่อพู่ล่วยชู่ยเสือหลูลนคุนหลื่นอู่นล่างบู้งหลัยหมุยลับครุบ
คุณมีเพลงโปรดอะไรบ้างครับ,ลุนคินลีมูเลงพลูงโหลดปรูดหละอุซัยรุยล่างบู้งลับครุบ
วันนี้คุณได้ยิ้มกี่ครั้งแล้วครับ,ลันวุนลี้นู้ลุนคินล่ายดู้ยลิ้มยุ้มหลี่กู่ลั้งครุ้งแซ้วลู้วลับครุบ
